Altium Designer Pick and Place Locations
D:\WORK\My projects\motohelmet\RED_CAT\RED_CAT_HW\Schematic\RSD_M1_HELMET_UNIT_PCB\Project Outputs for helmet_lights\Pick Place for RSD_M1_HELMET_MOTORCYCLE_UNITS_V2.csv

========================================================================================================================
File Design Information:

Date:       13.07.20
Time:       20:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"X6","BottomLayer","38.885","101.136","172"
"C10M","TopLayer","22.533","76.201","270"
"C1M","TopLayer","59.483","84.476","180"
"C15","BottomLayer","41.935","125.167","360"
"C16","BottomLayer","41.960","109.343","360"
"C21","BottomLayer","64.585","130.793","180"
"C1","BottomLayer","38.597","46.429","140"
"C10","BottomLayer","73.397","51.129","360"
"C8M","BottomLayer","29.183","81.225","90"
"C23","BottomLayer","58.110","133.568","360"
"C8","BottomLayer","69.397","45.653","90"
"SW1","BottomLayer","42.366","7.237","188"
"SW2","BottomLayer","56.666","9.137","188"
"DD1M","TopLayer","47.483","80.301","45"
"DD1","BottomLayer","47.697","31.229","45"
"VT1M","TopLayer","31.433","87.676","90"
"VT6","BottomLayer","13.635","125.418","270"
"VT7","BottomLayer","9.460","125.418","270"
"VT8","BottomLayer","47.310","111.368","270"
"VT9","BottomLayer","10.460","114.093","270"
"VT10","BottomLayer","14.535","114.093","270"
"VT11","BottomLayer","8.335","136.093","270"
"VT12","BottomLayer","12.160","137.468","270"
"VT13","BottomLayer","54.585","130.418","90"
"VT14","BottomLayer","41.335","143.593","360"
"VT15","BottomLayer","47.960","127.618","180"
"VT16","BottomLayer","36.460","138.043","90"
"VT17","BottomLayer","68.760","117.443","270"
"VT18","BottomLayer","72.860","117.443","270"
"VT19","BottomLayer","16.710","139.468","180"
"VT20","BottomLayer","15.635","143.618","270"
"VT1","BottomLayer","36.597","14.554","90"
"VT2","BottomLayer","76.697","35.229","90"
"VT3","BottomLayer","72.697","35.254","90"
"VT4","BottomLayer","76.297","25.129","90"
"DA3M","BottomLayer","56.233","80.751","90"
"DA1M","BottomLayer","37.233","80.751","90"
"DA2M","TopLayer","31.683","74.201","90"
"DA1","BottomLayer","74.597","42.229","180"
"VD4M","TopLayer","24.933","71.451","180"
"VD2M","BottomLayer","25.933","71.701","270"
"CR8M","BottomLayer","35.733","70.501","270"
"CR7M","BottomLayer","59.083","70.501","270"
"CR6M","BottomLayer","31.483","70.501","270"
"CR5M","BottomLayer","63.383","70.501","270"
"CR4M","BottomLayer","39.983","70.501","270"
"CR3M","BottomLayer","54.783","70.501","270"
"CR2M","BottomLayer","44.233","70.501","270"
"CR1M","BottomLayer","50.483","70.501","270"
"VD3","BottomLayer","34.985","127.443","270"
"VD9","BottomLayer","63.260","137.793","90"
"VD2","BottomLayer","78.897","49.029","90"
"VD3M","BottomLayer","25.933","78.951","270"
"VD1M","TopLayer","26.508","82.901","360"
"VD4","BottomLayer","27.810","106.918","360"
"VD1","BottomLayer","63.097","52.629","360"
"R11M","BottomLayer","36.583","87.001","90"
